PeopleSoft Number,A1,A2,A3,A4,A5,A6,A7,A9,A10,Practical Assignment Average,Q1,Q2,Q3,Q4,Q5,Q6,Quiz Average,Assignment Average,PT1,PT2,Practical Test Average,Practical Average
1587474,100,100,100,50,81,50,100,0,0,72.625,15,11,4,8,13,9,75,72.73,70,60,65,69.63625
1587867,100,84,80,100,91,92,100,45,15,86.5,15,8,2,2,4,12,55,84.91,40,0,20,58.945
1587930,100,100,100,98,95,100,70,0,0,82.875,9,7,10,8,8,11,61,81.8,100,100,100,89.07875
1590593,75,100,100,96,91,100,100,90,0,94,15,12,8,6,6,9,67,92.63,55,0,27.5,66.58
1590989,100,76,100,71,90,73,79,0,0,73.625,15,10,2,8,0,9,59,72.88,0,40,20,51.72625
1591228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1591807,100,31,75,73,56,80,100,0,70,73.125,12,13,0,5,3,6,52,72.07,75,80,77.5,74.24125
1592563,100,85,80,95,82,0,0,88,0,66.25,12,13,4,5,0,0,45,65.2,0,80,40,55.1225
1593035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1593724,100,51,80,34,0,18,0,0,0,35.375,12,10,4,0,0,0,35,35.34,0,0,0,21.20375
1595458,100,0,0,0,0,0,0,0,0,12.5,9,7,0,0,0,0,21,12.94,0,0,0,7.765
1595531,100,100,100,100,0,0,0,70,0,58.75,15,15,7,10,12,0,79,59.75,75,0,37.5,50.8475
1596316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1596529,100,50,100,22,64,20,80,49,0,60.625,15,12,4,2,5,7,57,60.46,88,75,81.5,68.87625
1597559,60,31,70,93,45,0,100,85,5,61.125,15,7,2,7,4,6,52,60.67,45,50,47.5,55.40125
1599343,45,31,24,9,86,81,100,0,59,54.375,0,7,8,9,10,0,45,53.92,70,100,85,66.35375
1601210,95,100,100,71,60,98,63,0,10,74.625,12,9,7,7,6,0,55,73.63,100,100,100,84.17625
1602135,0,25,0,0,0,0,0,70,0,11.875,0,11,7,0,6,0,32,12.88,60,0,30,19.72875
1602529,100,100,100,92,98,96,100,77,95,97.625,15,13,10,10,9,11,79,96.68,100,80,90,94.00625
1604638,100,100,100,47,89,85,79,57,100,88.75,9,10,6,15,6,11,68,87.71,60,100,80,84.6275
1605463,95,31,0,31,96,62,100,0,0,51.875,15,5,5,0,7,4,48,51.68,100,100,100,71.00875
1606980,0,0,0,34,36,88,80,67,10,39.375,0,0,0,0,0,0,0,37.41,0,60,30,34.44375
1608156,0,32,40,25,54,34,76,0,66,40.875,0,12,0,8,4,9,44,41.03,50,20,35,38.61875
1608492,20,96,50,38,49,0,0,0,0,31.625,15,12,0,7,4,0,51,32.58,95,100,97.5,58.54625
1608822,95,20,90,26,63,20,61,70,0,55.625,15,12,2,9,4,8,64,56.04,100,75,87.5,68.62625
1610225,100,100,95,100,98,85,100,100,100,99.125,12,9,7,8,7,9,60,97.17,90,100,95,96.30125
1612767,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,7,25,1.267,0,0,0,0.76
1613386,100,96,10,41,60,100,50,0,25,60.25,15,5,0,0,0,0,27,58.57,100,100,100,75.1425
1613772,100,96,14,55,45,40,8,0,0,44.75,9,7,5,5,6,7,45,44.78,75,60,67.5,53.8675
1615188,100,100,100,96,94,100,100,73,100,98.75,12,15,13,12,10,11,84,98.01,100,100,100,98.8075
1615929,100,76,50,49,93,50,0,95,0,64.125,12,4,5,4,3,9,45,63.19,70,0,35,51.91125
1616387,100,96,75,0,31,78,0,0,35,51.875,12,15,5,7,10,9,71,52.81,70,80,75,61.68875
1616832,100,28,0,0,0,0,0,0,0,16,12,9,7,8,7,0,57,18.07,90,40,65,36.84
1616888,90,100,100,49,83,0,0,0,40,57.75,12,10,7,8,0,7,59,57.8,62,100,81,67.0775
1617552,100,40,65,87,78,80,100,40,92,80.25,9,7,5,10,6,10,56,79.04,75,80,77.5,78.4225
1617755,0,12,65,52,69,0,59,0,0,32.125,0,12,10,3,8,0,44,32.72,60,75,67.5,46.63125
1618636,100,100,80,100,89,100,29,65,94,91,15,12,2,3,5,8,57,89.32,60,20,40,69.59
1632659,100,100,100,92,85,70,100,36,93,92.5,15,12,8,8,5,8,68,91.28,89,40,64.5,80.565
1632775,100,100,55,76,24,18,100,0,80,69.125,15,8,9,10,6,10,69,69.14,70,100,85,75.48125
1633087,100,100,90,47,58,90,80,0,0,70.625,15,10,7,6,4,6,59,70.03,70,80,75,72.01625
1633273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1633328,100,91,75,48,76,62,90,76,64,79.25,12,13,6,8,2,4,57,78.15,55,0,27.5,57.8925
1633456,100,50,70,4,49,50,39,71,73,62.75,15,7,2,1,6,9,52,62.21,50,0,25,47.3275
1633740,100,70,75,73,96,54,24,72,10,70.5,12,5,2,7,5,8,49,69.44,55,40,47.5,60.665
1633741,100,100,100,100,95,92,100,0,100,98.375,12,13,6,15,12,13,87,97.79,70,100,85,92.67375
1633841,100,80,100,72,85,45,87,60,0,78.625,9,7,4,8,7,10,55,77.43,62,0,31,58.85625
1633879,100,76,90,80,0,96,64,0,0,63.25,15,10,10,7,7,12,72,63.69,80,100,90,74.2125
1634080,85,89,100,100,70,76,0,70,45,79.375,15,13,10,9,6,13,80,79.41,70,80,75,77.64375
1634997,100,28,15,78,88,77,96,0,0,60.25,12,12,0,6,4,11,60,60.24,67,100,83.5,69.5425
1635029,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,16,0.8,0,0,0,0.48
1635037,95,82,100,100,98,92,100,80,0,93.375,15,12,0,9,5,8,65,91.97,70,80,75,85.18375
1635206,100,51,10,0,0,20,90,25,0,37,12,13,5,5,0,10,60,38.15,70,0,35,36.89
1635461,100,100,90,91,89,77,51,85,0,85.375,9,10,2,12,5,6,56,83.91,60,50,55,72.34375
1635468,50,76,55,26,17,50,0,0,0,34.25,12,0,0,0,0,0,16,33.34,0,40,20,28.0025
1635618,100,84,45,0,52,80,0,65,0,53.25,15,4,2,5,6,9,52,53.19,85,100,92.5,68.9125
1635914,70,0,0,0,0,0,0,0,0,8.75,15,7,2,3,5,9,52,10.91,35,0,17.5,13.5475
1636341,100,91,65,96,0,0,0,0,0,44,15,13,6,8,0,0,56,44.6,65,0,32.5,39.76
1636482,100,38,75,21,25,62,51,0,15,48.375,0,12,5,8,8,10,57,48.82,65,40,52.5,50.29375
1636544,50,15,65,87,86,18,0,0,0,40.125,12,15,7,2,1,9,60,41.12,90,100,95,62.67125
1636833,45,51,65,31,54,90,75,75,75,66.25,9,9,4,6,3,9,49,65.4,70,100,85,73.2425
1637291,100,100,100,100,97,0,0,0,0,62.125,15,7,2,4,10,8,59,61.95,100,20,60,61.17125
1637597,100,96,75,91,89,0,24,0,0,59.375,15,15,7,11,7,9,76,60.21,100,20,60,60.12375
1637649,100,40,55,76,64,50,96,85,0,70.75,15,8,4,5,10,8,61,70.28,75,0,37.5,57.1675
1637903,100,91,95,87,98,50,73,50,35,80.5,12,5,2,7,6,7,49,78.94,100,100,100,87.365
1638374,100,100,100,100,92,100,96,79,92,97.5,15,8,8,6,7,14,69,96.09,100,100,100,97.655
1638446,100,100,100,98,89,68,100,1,88,92.875,0,7,4,5,5,9,40,90.23,100,100,100,94.13875
1638489,50,60,70,76,68,18,80,0,0,52.75,12,9,3,13,8,0,60,53.11,70,30,50,51.8675
1638626,100,100,100,99,86,90,74,80,63,91.125,12,6,2,4,3,7,43,88.7,60,20,40,69.22125
1638832,70,64,70,80,69,0,81,0,0,54.25,9,7,8,11,9,0,59,54.47,70,80,75,62.6825
1638974,100,100,100,45,64,0,0,0,32,55.125,0,15,8,2,7,0,43,54.5,100,100,100,72.70125
1639601,100,100,100,96,94,44,79,55,20,83.5,15,5,5,7,3,10,56,82.13,100,100,100,89.275
1640427,100,96,100,100,75,100,100,54,0,90.625,9,8,2,11,4,7,52,88.69,60,75,67.5,80.21625
1640539,60,51,90,53,29,80,80,0,46,61.125,0,0,0,5,4,6,20,59.07,70,40,55,57.44125
1640634,100,72,75,70,70,48,56,58,0,68.625,9,12,2,8,11,7,63,68.33,70,100,85,74.99625
1640726,100,96,80,0,70,50,56,83,90,78.125,12,12,6,7,5,0,56,77.02,70,100,85,80.21125
1641606,45,83,20,99,47,81,80,76,10,66.375,12,8,2,15,7,8,67,66.39,60,50,55,61.83375
1641841,85,50,0,64,31,40,81,70,55,59.5,9,12,2,0,0,8,41,58.59,30,20,25,45.155
1641947,100,70,75,0,0,0,0,0,0,30.625,15,10,6,4,5,0,53,31.76,80,40,60,43.05625
1642033,100,96,100,90,98,85,100,0,100,96.125,12,15,9,9,3,10,73,94.99,100,100,100,96.99125
1642093,100,100,100,100,100,100,100,95,94,99.375,15,15,15,15,11,15,100,99.41,100,100,100,99.64375
1642413,0,31,0,0,0,0,0,0,0,3.875,9,12,2,3,0,0,35,5.415,30,0,15,9.24875
1642556,100,100,95,96,84,60,100,72,94,92.625,12,12,6,10,9,7,67,91.33,100,83,91.5,91.39625
1642780,60,100,85,73,49,50,33,57,0,63.375,12,8,7,3,4,9,53,62.87,0,75,37.5,52.72375
1643046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1643217,100,20,0,0,0,0,79,93,0,36.5,9,5,4,6,0,0,32,36.28,100,100,100,61.765
1643487,100,43,70,37,71,50,0,70,0,55.125,9,8,2,11,4,10,56,55.17,100,100,100,73.10125
1643769,100,91,100,98,85,100,100,80,95,96.125,12,8,8,12,7,12,69,94.79,70,75,72.5,85.87125
1643852,100,72,65,9,49,72,0,0,0,45.875,15,7,4,4,4,0,45,45.85,0,0,0,27.50875
1644378,50,75,50,0,0,18,0,0,0,24.125,12,10,4,11,9,9,68,26.32,70,50,60,39.79125
1644816,100,31,60,31,47,0,100,80,0,56.125,0,15,2,3,3,9,43,55.45,0,0,0,33.27125
1645089,0,0,0,0,54,77,0,0,0,16.375,12,10,2,6,9,0,52,18.16,50,0,25,20.89375
1645144,100,80,50,27,31,40,66,97,34,62.25,15,10,2,6,9,8,64,62.34,65,40,52.5,58.4025
1645562,100,64,0,72,0,50,100,63,0,56.125,9,8,4,3,5,5,41,55.39,70,0,35,47.23125
1646322,100,96,100,75,69,50,69,61,92,82.75,12,10,2,9,4,8,57,81.48,90,60,75,78.8875
1646505,90,35,75,96,85,85,100,80,10,80.75,15,5,4,10,9,9,64,79.91,65,0,32.5,60.9475
1646730,100,48,0,0,0,77,28,25,30,38.5,0,12,0,0,6,0,24,37.78,50,50,50,42.665
1646746,90,36,60,51,0,10,61,90,21,52.375,15,8,5,9,0,0,49,52.22,55,100,77.5,62.33375
1646880,100,91,100,55,89,50,100,81,26,83.25,15,10,6,9,4,10,67,82.42,65,75,70,77.4525
