STA Assignment Average,100
1708176,73
1699512,85
1507568,68
1501728,98
1688180,98
1634191,100
1661460,81
1685541,81
1704884,93
1689986,62
1685842,63
1697163,97
1707724,95
1666669,71
1693668,81
1699151,63
1649083,92
1687199,79
1705253,86
1696769,94
1596316,17
1697586,39
1688197,98
1668771,98
1701719,83
1690418,63
1694522,95
1702365,88
1684805,100
1583917,98
1639590,94
1690295,95
1688204,99
1723069,94
1717344,83
1612767,92
1693907,88
1693533,86
1705038,89
1685490,100
1703345,91
1685860,97
1638636,93
1721756,93
1582787,78
1685082,98
1693527,98
1700674,33
1401762,83
1692765,37
1674286,46
1700098,100
1691995,89
1673310,91
1686852,62
1687522,70
1696395,96
1704569,84
1689953,85
1636512,97
1685383,100
1707919,74
1716863,98
1708856,96
1704111,89
1632318,99
1696007,73
1686484,100
1666474,93
1662166,33
1636833,92
1721029,88
1693968,100
1643393,93
1690998,97
1650850,80
1703808,78
1692656,81
1719336,93
1636295,81
1688434,97
1693958,100
1608953,38
1685142,90
1643943,73
1722971,83
1685094,100
1685633,98
1688942,80
1602529,72
1718007,95
1692058,94
1479249,48
1722325,89
1694282,98
1689848,81
1703006,91
1687966,92
1691366,85
1554907,99
1692718,58
1685141,100
1698807,98
1705518,82
1708499,73
1686998,89
1717886,64
1693954,75
1698039,99
1689939,85
1708838,89
1689539,92
1709767,17
1688811,100
1668418,95
1661331,96
1715981,33
1693289,95
1723445,73
1715004,51
1637159,72
1648009,77
1640587,75
1407441,98
1688803,99
1690843,100
1687381,99
1673082,97
1596782,63
1724263,92
1719540,93
1663700,100
1716599,95
1688459,71
1687957,69
1714017,83
1655936,0
1692455,65
1544621,87
1590996,83
1693087,96
1726816,44
1716010,53
1635583,91
1684872,94
1687303,95
1690464,24
1687899,73
1687239,98
1696950,82
1692088,93
1691861,93
1704084,84
1685370,41
1727440,81
1685875,53
1692871,90
1711742,98
1635437,94
1721386,94
1710575,79
1708548,65
1696550,77
1723662,78
1686611,99
1689646,94
1685575,100
1708108,99
1669342,83
1689043,97
1688689,95
1696255,87
1645075,100
1661373,86
1696250,100
1690768,88
1686596,77
1685240,67
1689116,79
1688033,45
1692330,97
1717987,89
1650849,93
1708941,24
1703901,74
1700792,98
1713382,75
1700288,93
1642320,61
1715563,90
1641319,89
1673284,26
1684715,98
1527031,87
1643861,93
1688355,44
1565616,59
1719046,88
1704165,91
1688058,93
1711245,93
1711127,83
1698983,91
1687076,99
1693295,90
1726166,78
1581291,64
1692166,62
1724397,100
1711561,97
1635214,97
1690087,89
1687025,32
1586990,64
1646391,78
1691167,100
1685612,99
1581553,51
1689547,98
1697077,98
1684783,93
1647029,90
1685862,89
1725105,97
1713591,46
1686923,98
1690174,72
1686918,98
1724370,63
1687248,99
1698424,57
1688724,85
1687047,99
1658126,98
1688048,96
1710106,90
1684787,80
1727185,99
1726735,93
1551414,97
1696709,99
1697511,98
1691561,83
1704035,89
1721910,93
1699402,100
1720061,93
1684718,99
1591070,63
1692009,86
1692961,97
1695932,100
1685547,100
1692156,97
1640408,97
1691881,97
1724157,62
1696800,81
1687438,92
1712775,83
1690293,100
1690247,100
1592007,0
1688244,100
1687111,73
1701144,88
1698490,95
1698262,95
1685416,100
1720085,83
1732978,93
1691786,96
1696998,86
1725925,79
1696135,98
1711704,23
1700620,100
1688914,98
1633273,0
1704729,90
1699457,85
1700701,98
1690140,100
1696154,100
1717958,72
1547087,96
