CSC Quizes
PeopleSoft Number,Q1,Q2,Q3,Q4,Q5,Q6
1659880,0,8,4,0,0,6
1660590,12,10,5,11,6,10
1661139,0,12,0,0,0,0
1661331,12,3,7,9,5,10
1661373,15,13,5,13,4,11
1662166,0,0,9,0,11,5
1662240,0,7,2,15,8,10
1662364,12,10,2,6,0,0
1662676,15,9,2,11,8,10
1662879,15,9,4,7,9,7
1662904,9,15,2,8,6,7
1663196,0,5,2,0,0,0
1663601,9,12,4,13,9,13
1663700,12,12,10,10,14,9
1664262,15,5,7,10,4,6
1664731,9,7,2,8,5,9
1664923,15,10,0,6,4,10
1664929,0,15,4,11,8,0
1664944,6,15,4,8,10,8
1665117,15,13,7,10,9,12
1665131,15,15,10,13,11,10
1665843,0,7,4,6,5,0
1666440,15,12,13,13,3,8
1666669,9,7,2,6,6,7
1667778,12,10,5,6,6,11
1668083,15,11,7,9,12,7
1668107,12,8,4,3,5,6
1668136,12,13,4,8,9,8
1668418,12,5,4,10,5,8
1669575,6,7,7,9,7,8
1669948,15,12,15,13,6,9
1669971,12,15,7,8,5,9
1670006,12,10,4,10,7,9
1670686,15,4,8,4,5,6
1670925,12,15,7,10,7,15
1671111,15,7,2,3,6,10
1671412,0,12,0,0,0,0
1671946,0,0,0,0,0,0
1673082,0,12,8,0,11,10
1673213,12,10,0,3,0,0
1673310,15,10,10,15,3,13
1675037,15,9,13,13,10,10
1675098,15,9,2,10,8,7
1678599,15,7,10,8,11,0
1682017,0,0,0,2,4,11
1684715,15,8,2,6,5,6
1684787,0,12,0,0,6,0
1684796,15,15,10,11,9,12
1684805,15,15,15,15,15,14
1684806,9,7,2,8,3,7
1684833,15,12,10,11,6,9
1684876,12,2,4,9,6,7
1684890,12,7,4,14,4,10
1684900,15,10,0,7,5,6
1684918,9,15,4,9,7,9
1684953,15,12,9,7,4,6
1685012,12,12,7,11,10,11
1685036,12,9,4,8,8,7
1685109,15,7,4,13,12,10
1685184,15,8,4,3,6,8
1685239,0,0,0,6,0,0
1685240,9,9,2,11,5,10
1685403,12,5,2,2,4,7
1685642,12,12,7,11,2,10
