CSC Assignments
PeopleSoft Number,A1,A2,A3,A4,A5,A6,A7,A9,A10
1643487,100,43,70,37,71,50,0,70,0
1643769,100,91,100,98,85,100,100,80,95
1643852,100,72,65,9,49,72,0,0,0
1644378,50,75,50,0,0,18,0,0,0
1644816,100,31,60,31,47,0,100,80,0
1645089,0,0,0,0,54,77,0,0,0
1645144,100,80,50,27,31,40,66,97,34
1645562,100,64,0,72,0,50,100,63,0
1646322,100,96,100,75,69,50,69,61,92
1646505,90,35,75,96,85,85,100,80,10
1646730,100,48,0,0,0,77,28,25,30
1646746,90,36,60,51,0,10,61,90,21
1646880,100,91,100,55,89,50,100,81,26
1647028,100,96,100,94,92,88,100,62,31
1647497,100,100,100,81,70,96,100,51,0
1647863,100,36,75,86,70,35,51,0,0
1648009,85,10,50,0,0,0,0,0,0
1648901,100,85,100,74,86,50,87,85,96
1649022,100,80,50,31,63,45,100,65,0
1649093,65,95,100,74,91,50,25,0,0
1649154,100,100,90,93,95,88,79,78,95
1649269,50,0,100,0,0,0,0,70,0
1649696,100,100,90,96,92,62,100,0,28
1649837,100,43,60,49,12,0,0,0,0
1650811,100,100,100,94,90,100,100,0,97
1650850,100,41,100,0,0,18,0,69,0
1650915,100,91,100,90,97,92,100,63,92
1651191,100,86,100,57,39,50,65,88,0
1651532,100,43,50,50,0,40,0,97,0
1651780,0,0,0,0,0,0,0,0,0
1652135,100,88,50,95,76,75,79,55,16
1652214,100,56,75,39,61,25,56,59,0
1652231,100,100,100,91,97,40,90,76,0
1652356,100,100,25,0,0,18,23,80,5
1654400,100,100,50,98,68,80,100,0,0
1654418,100,100,85,72,51,80,100,0,100
1654547,100,20,0,0,0,90,0,0,0
1654734,45,73,40,78,0,53,79,89,85
1655124,100,100,100,20,59,44,100,0,90
1655334,0,0,0,0,0,0,0,0,0
1655407,100,96,65,85,70,96,83,58,80
1656591,100,7,60,9,17,0,12,0,50
1656696,100,80,90,57,64,50,74,90,86
1656707,100,49,85,36,63,18,0,78,0
1656925,100,80,70,0,93,0,70,71,0
1657048,65,91,50,0,76,44,100,0,0
1657058,100,31,100,78,70,90,100,32,91
1657135,100,23,100,75,87,50,100,0,80
1657562,100,100,100,100,94,77,100,65,53
1657678,100,100,100,100,96,92,66,90,0
1658386,90,83,100,54,80,54,68,70,8
1658433,100,60,65,41,71,66,73,64,88
1658592,70,84,55,49,93,0,90,95,22
1658963,100,88,65,26,22,55,73,72,81
